time,distance,angle
2023-07-25 16:12:30.778586,20.04,225.67613396796534
2023-07-25 16:12:30.791927,20.08,225.51045393420065
2023-07-25 16:12:30.805466,20.05,225.72514175392473
2023-07-25 16:12:30.818841,20.01,225.87542322773163
2023-07-25 16:12:30.832296,20.06,225.98062025939646
2023-07-25 16:12:30.845594,20.03,226.0542581815618
2023-07-25 16:12:30.858813,19.97,226.10580472707755
2023-07-25 16:12:31.139599,19.91,223.81139456004053
2023-07-25 16:12:31.639931,19.97,222.519925477877
2023-07-25 16:12:33.238972,20.02,218.7076322761183
2023-07-25 16:12:33.739465,19.87,217.2218849754285
2023-07-25 16:12:37.144706,19.67,221.50140421727184
2023-07-25 16:12:37.646046,19.42,221.8981998956906
2023-07-25 16:12:38.144152,19.15,221.93269679931387
2023-07-25 16:12:38.644414,18.85,224.08760851336802
2023-07-25 16:12:39.144642,18.61,221.88073514769803
2023-07-25 16:12:39.645342,18.19,222.15695558341508
2023-07-25 16:12:40.144224,17.92,223.4301864234495
2023-07-25 16:12:40.644997,17.59,223.67779673799797
2023-07-25 16:12:41.145038,17.18,225.92905659050228
2023-07-25 16:12:41.645051,16.84,225.9977160195271
2023-07-25 16:12:42.144303,16.54,226.41100343063238
2023-07-25 16:12:42.644551,16.28,228.11705928331742
2023-07-25 16:12:43.144762,15.99,227.53568490551305
2023-07-25 16:12:43.645061,15.66,227.97579032257798
2023-07-25 16:12:44.144454,15.39,228.0205711177623
2023-07-25 16:12:44.644632,14.96,225.90237223389278
2023-07-25 16:12:45.144901,14.59,226.59549771088808
2023-07-25 16:12:45.645053,14.28,225.7124119917568
2023-07-25 16:12:46.145362,13.92,224.61205756775357
2023-07-25 16:12:46.644606,13.66,226.54646224731275
2023-07-25 16:12:47.144855,13.34,226.26387009881125
2023-07-25 16:12:47.645142,12.97,226.63461548004233
2023-07-25 16:12:48.145391,12.60,228.28472725089458
2023-07-25 16:12:48.644650,12.28,227.65109964089532
2023-07-25 16:12:49.144972,11.94,227.99168156868018
2023-07-25 16:12:49.645250,11.68,227.83802019259133
2023-07-25 16:12:50.145525,11.35,229.2540197179929
2023-07-25 16:12:50.645777,11.08,229.47189637741462
2023-07-25 16:12:51.144989,10.90,230.10351537766314
2023-07-25 16:12:51.645339,10.53,228.9159382079983
2023-07-25 16:12:52.145578,10.13,230.33080267892979
2023-07-25 16:12:52.644779,9.84,231.43483330246556
2023-07-25 16:12:53.145141,9.55,229.84714387469194
2023-07-25 16:12:53.645301,9.16,230.45360940156274
