time,distance,angle
2023-07-25 16:49:15.087840,22.17,30.574448220059327
2023-07-25 16:49:15.321998,22.15,30.574448220059327
2023-07-25 16:49:15.822321,22.18,29.05562219890453
2023-07-25 16:49:16.321901,22.15,29.227337002262423
2023-07-25 16:49:16.822201,22.15,30.29373403428466
2023-07-25 16:49:18.325939,21.86,32.666428820307544
2023-07-25 16:49:18.825325,21.99,41.243990571800495
2023-07-25 16:49:19.325723,22.16,48.84586898591412
2023-07-25 16:49:19.825215,22.21,51.65410930589685
2023-07-25 16:49:20.325488,22.51,47.57544402148616
2023-07-25 16:49:20.825876,22.76,43.05653443376215
2023-07-25 16:49:21.325301,23.02,42.097125492107295
2023-07-25 16:49:21.826556,23.28,43.90988801823031
2023-07-25 16:49:22.326187,23.50,44.43816367343685
2023-07-25 16:49:22.825546,23.72,42.65371363023196
2023-07-25 16:49:23.326005,24.04,41.66325753485561
2023-07-25 16:49:23.826257,24.27,37.63482876670619
2023-07-25 16:49:24.325785,24.62,35.87723553713639
2023-07-25 16:49:24.826069,24.85,36.9569398722831
2023-07-25 16:49:25.326301,25.07,37.56882278188946
2023-07-25 16:49:25.825953,25.31,40.640952274331305
2023-07-25 16:49:26.326048,25.51,45.63890211181182
2023-07-25 16:49:26.826332,25.79,41.982875591739415
2023-07-25 16:49:27.326927,26.05,40.80368367067099
2023-07-25 16:49:27.826205,26.28,40.77031901976102
2023-07-25 16:49:28.326409,26.51,40.3384522692849
2023-07-25 16:49:28.828043,26.62,48.04778657918218
2023-07-25 16:49:29.327590,26.74,65.64804450614633
2023-07-25 16:49:29.827834,26.82,70.7203555349667
2023-07-25 16:49:30.326855,26.94,74.64672654091737
2023-07-25 16:49:30.827367,27.13,76.82653665190296
2023-07-25 16:49:31.828338,27.02,80.45190292832473
2023-07-25 16:49:32.327978,27.01,80.8695573955204
2023-07-25 16:49:32.826853,27.13,80.39630395947982
2023-07-25 16:49:33.327370,27.21,81.69457561094885
2023-07-25 16:49:33.827691,27.21,89.23433204382638
2023-07-25 16:49:34.326938,27.35,91.51872347783225
2023-07-25 16:49:34.827116,27.52,90.67488456839061
2023-07-25 16:49:35.327522,27.63,87.25189235822347
2023-07-25 16:49:35.827132,27.67,84.48137436464884
2023-07-25 16:49:36.327389,27.73,92.88168743761875
2023-07-25 16:49:36.827728,27.63,110.85337349467437
2023-07-25 16:49:37.327284,27.68,132.81578682852745
2023-07-25 16:49:37.827533,27.63,147.07130291494343
2023-07-25 16:49:38.328009,27.57,153.84864330632624
2023-07-25 16:49:39.428063,27.66,160.92721556075924
2023-07-25 16:49:39.927497,27.62,166.688715879426
2023-07-25 16:49:40.428400,27.59,171.34942467263096
2023-07-25 16:49:40.928319,27.33,173.51855081293866
2023-07-25 16:49:41.428613,27.16,170.23323677014935
2023-07-25 16:49:41.928049,27.29,169.34210034878276
2023-07-25 16:49:44.734635,28.76,166.93868795565578
2023-07-25 16:49:45.934953,25.79,172.89485581592243
2023-07-25 16:49:46.434245,25.80,166.13824082365278
2023-07-25 16:49:48.338037,29.37,162.7504721574124
2023-07-25 16:49:52.699766,24.70,166.70869864255957
2023-07-25 16:49:53.199061,24.72,164.27963773156154
2023-07-25 16:49:59.200328,22.48,162.34742431743572
2023-07-25 16:50:00.903089,22.07,163.02099956663903
