time,Bx,By,Bz,Btotal
2023-06-25 16:43:36.8200,19.25,-34.85,-48.67,62.88
2023-06-25 16:43:36.9250,19.59,-35.19,-48.82,63.29
2023-06-25 16:43:37.0290,19.5,-35.29,-49.06,63.5
2023-06-25 16:43:37.1320,19.5,-35.04,-48.87,63.22
2023-06-25 16:43:37.2370,19.33,-34.95,-49.06,63.26
2023-06-25 16:43:37.3420,19.44,-35.03,-49.14,63.41
2023-06-25 16:43:37.4470,19.6,-35.27,-49.16,63.6
2023-06-25 16:43:37.5510,19.71,-35.25,-49.14,63.6
2023-06-25 16:43:37.6550,19.67,-35.07,-49.11,63.47
2023-06-25 16:43:37.7590,19.4,-35.3,-48.57,63.09
2023-06-25 16:43:37.8640,19.48,-34.92,-48.88,63.15
2023-06-25 16:43:37.9680,19.11,-34.86,-48.93,63.04
2023-06-25 16:43:38.0720,19.27,-35.06,-49.17,63.39
2023-06-25 16:43:38.1760,19.25,-35.06,-48.84,63.13
2023-06-25 16:43:38.2810,19.15,-35.24,-49.18,63.46
2023-06-25 16:43:38.3850,19.18,-35.66,-49.1,63.64
2023-06-25 16:43:38.4900,19.17,-35.7,-48.84,63.47
2023-06-25 16:43:38.5940,19.06,-35.11,-48.78,63.05
2023-06-25 16:43:38.6980,19.19,-35.67,-49.11,63.65
2023-06-25 16:43:38.8010,19.31,-35.61,-48.85,63.46
2023-06-25 16:43:38.9060,19.45,-35.37,-49.41,63.8
2023-06-25 16:43:39.0240,19.17,-35.28,-49.12,63.44
2023-06-25 16:43:39.1260,19.45,-35.27,-49.14,63.54
2023-06-25 16:43:39.2310,19.46,-35.02,-48.93,63.24
2023-06-25 16:43:39.3300,19.49,-34.87,-48.7,62.99
2023-06-25 16:43:39.4290,19.41,-35.02,-48.92,63.22
2023-06-25 16:43:39.5320,19.7,-35.18,-49.19,63.61
2023-06-25 16:43:39.6360,19.4,-35.09,-49.22,63.49
2023-06-25 16:43:39.7400,19.27,-34.85,-48.97,63.11
2023-06-25 16:43:39.8450,19.39,-35.03,-48.67,63.02
2023-06-25 16:43:39.9490,19.47,-34.69,-49.03,63.14
2023-06-25 16:43:40.0530,19.91,-34.79,-49.05,63.34
2023-06-25 16:43:40.1590,19.78,-34.79,-48.91,63.19
2023-06-25 16:43:40.2620,19.54,-34.95,-48.77,63.1
2023-06-25 16:43:40.3670,19.51,-34.48,-48.98,63.0
2023-06-25 16:43:40.4710,19.56,-34.95,-49.09,63.36
2023-06-25 16:43:40.5750,19.57,-34.84,-49.02,63.24
2023-06-25 16:43:40.6790,19.68,-34.74,-48.96,63.18
2023-06-25 16:43:40.7840,19.29,-35.0,-48.97,63.2
2023-06-25 16:43:40.8880,19.41,-35.13,-49.64,63.84
2023-06-25 16:43:40.9920,19.01,-35.35,-48.5,62.95
2023-06-25 16:43:41.0970,19.45,-35.29,-49.31,63.68
2023-06-25 16:43:41.2010,19.31,-35.2,-49.33,63.6
2023-06-25 16:43:41.3050,19.49,-35.03,-49.05,63.35
2023-06-25 16:43:41.4100,19.59,-35.01,-49.26,63.53
2023-06-25 16:43:41.5140,19.55,-34.92,-48.72,63.05
2023-06-25 16:43:41.6180,19.44,-35.04,-48.54,62.95
2023-06-25 16:43:41.7220,19.49,-34.76,-48.31,62.63
2023-06-25 16:43:41.8450,19.54,-34.7,-48.91,63.07
2023-06-25 16:43:41.9440,19.95,-34.86,-48.78,63.19
2023-06-25 16:43:42.0480,19.34,-35.06,-49.03,63.3
2023-06-25 16:43:42.1470,19.41,-34.86,-48.45,62.77
2023-06-25 16:43:42.2470,19.37,-34.88,-48.73,62.98
2023-06-25 16:43:42.3470,19.28,-34.92,-48.69,62.94
2023-06-25 16:43:42.4520,19.35,-35.13,-48.91,63.25
2023-06-25 16:43:42.5560,19.57,-34.71,-48.98,63.14
2023-06-25 16:43:42.6600,19.5,-34.68,-48.84,62.99
2023-06-25 16:43:42.7650,19.5,-34.97,-48.97,63.25
2023-06-25 16:43:42.8690,19.55,-34.84,-48.78,63.05
2023-06-25 16:43:42.9730,19.31,-34.87,-49.04,63.2
