time,Bx,By,Bz,Btotal,compass,mean,max,min,std,offset
2023-06-25 16:46:32.1520,-12.08,36.56,-61.78,72.8,341.7156310656438,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.2570,-12.21,36.14,-61.62,72.47,341.3323165542505,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.3790,-11.98,36.48,-61.95,72.88,341.81986518591196,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.4840,-12.32,36.29,-61.5,72.46,341.2482941742149,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.5820,-11.72,36.41,-61.59,72.5,342.15717333230884,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.6810,-12.21,36.61,-61.66,72.74,341.55566150500323,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.7810,-12.07,36.58,-61.61,72.66,341.73908757163707,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.8850,-11.91,36.7,-61.72,72.79,342.02055265446614,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:32.9870,-12.2,36.45,-61.8,72.77,341.49434478000546,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.0920,-12.14,36.8,-61.75,72.9,341.742726437604,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.1960,-12.08,36.75,-61.91,73.0,341.80391881590515,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.3010,-12.19,36.51,-61.6,72.64,341.53680810697983,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.4050,-12.22,36.48,-61.51,72.55,341.4802802352148,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.5100,-12.07,36.58,-61.82,72.84,341.73908757163707,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.6140,-12.19,36.67,-61.28,72.44,341.61193805655705,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.7180,-12.2,36.54,-61.63,72.68,341.5368312912399,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.8220,-12.04,36.83,-61.98,73.09,341.89704781602234,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:33.9270,-12.19,36.84,-61.53,72.74,341.6911194315278,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.0310,-12.17,36.8,-61.7,72.87,341.70061244863086,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.1350,-12.14,36.37,-61.29,72.3,341.54142405284483,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.2400,-12.24,36.31,-61.23,72.23,341.3711815728161,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.3440,-11.96,36.36,-61.33,72.3,341.79226391666964,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.4480,-12.0,36.56,-61.87,72.86,341.8287379785204,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.5520,-11.96,36.56,-61.68,72.69,341.8853465093486,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.6570,-12.17,36.76,-61.69,72.84,341.6820289229007,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.7610,-12.2,36.74,-61.88,73.0,341.6305748303614,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.8650,-12.18,36.11,-61.39,72.26,341.36061104237854,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:34.9690,-12.11,36.21,-61.76,72.61,341.50810657481077,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.0740,-12.21,36.29,-61.53,72.48,341.40416156829093,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.1950,-12.31,36.61,-61.99,73.03,341.4149397680882,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.3000,-12.53,36.61,-62.03,73.11,341.106170306184,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.4000,-12.44,36.39,-61.42,72.47,341.1268961221306,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.4990,-12.32,36.41,-61.65,72.65,341.30579602557657,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.5990,-12.09,36.07,-61.79,72.56,341.46979643605425,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.7030,-12.13,36.01,-61.45,72.25,341.3838567393879,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.8030,-12.21,36.32,-62.03,72.91,341.41846660253793,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:35.9080,-12.11,36.41,-61.78,72.72,341.60282653307684,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:36.0120,-12.17,36.13,-61.57,72.42,341.3844579113707,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
2023-06-25 16:46:36.1160,-12.35,36.18,-61.73,72.61,341.15272205433314,341.50949599415895,342.15717333230884,340.8620418113353,0.26285373060307127,18.490504005841046
