time,Bx,By,Bz,Btotal
2023-06-25 16:45:56.0290,13.28,32.96,-58.64,68.57
2023-06-25 16:45:56.1330,13.2,32.95,-58.62,68.53
2023-06-25 16:45:56.2380,13.37,32.85,-58.87,68.73
2023-06-25 16:45:56.3420,13.43,33.01,-58.82,68.78
2023-06-25 16:45:56.4460,13.46,32.59,-58.36,68.18
2023-06-25 16:45:56.5510,13.29,32.87,-58.64,68.52
2023-06-25 16:45:56.6550,13.17,32.52,-58.61,68.31
2023-06-25 16:45:56.7590,13.15,32.83,-58.42,68.29
2023-06-25 16:45:56.8630,13.08,32.8,-58.91,68.68
2023-06-25 16:45:56.9680,13.24,33.04,-59.26,69.13
2023-06-25 16:45:57.0720,12.93,33.11,-58.98,68.87
2023-06-25 16:45:57.1760,13.14,32.7,-58.64,68.42
2023-06-25 16:45:57.2800,13.21,32.72,-59.08,68.82
2023-06-25 16:45:57.3850,13.35,32.98,-59.23,69.1
2023-06-25 16:45:57.4890,13.08,32.94,-58.99,68.82
2023-06-25 16:45:57.6100,13.2,33.18,-58.98,68.95
2023-06-25 16:45:57.7110,12.95,32.91,-58.79,68.61
2023-06-25 16:45:57.8150,13.11,32.78,-58.7,68.5
2023-06-25 16:45:57.9140,12.85,32.75,-59.0,68.69
2023-06-25 16:45:58.0150,13.4,32.57,-59.07,68.78
2023-06-25 16:45:58.1140,13.11,33.1,-58.83,68.77
2023-06-25 16:45:58.2190,13.47,33.14,-59.0,69.0
2023-06-25 16:45:58.3230,13.33,32.98,-59.03,68.92
2023-06-25 16:45:58.4280,13.06,32.79,-58.8,68.58
2023-06-25 16:45:58.5320,13.11,32.91,-58.63,68.5
2023-06-25 16:45:58.6360,13.04,33.03,-58.74,68.64
2023-06-25 16:45:58.7410,13.13,32.8,-58.83,68.63
2023-06-25 16:45:58.8450,12.95,32.83,-58.71,68.5
2023-06-25 16:45:58.9490,12.79,32.91,-58.71,68.51
2023-06-25 16:45:59.0540,12.68,32.99,-58.63,68.46
2023-06-25 16:45:59.1580,13.02,32.62,-58.69,68.4
2023-06-25 16:45:59.2620,13.2,32.81,-58.7,68.53
2023-06-25 16:45:59.3670,13.1,33.36,-58.68,68.76
2023-06-25 16:45:59.4710,13.03,33.12,-59.29,69.15
2023-06-25 16:45:59.5750,13.05,32.71,-58.84,68.57
2023-06-25 16:45:59.6790,13.21,32.91,-58.37,68.3
2023-06-25 16:45:59.7840,13.4,33.1,-58.57,68.59
2023-06-25 16:45:59.9720,13.41,33.13,-58.77,68.79
2023-06-25 16:46:00.0720,13.44,33.0,-58.7,68.67
2023-06-25 16:46:00.1710,13.33,33.02,-58.62,68.59
2023-06-25 16:46:00.2700,13.12,33.1,-58.98,68.89
2023-06-25 16:46:00.3700,13.14,32.91,-58.87,68.72
2023-06-25 16:46:00.4690,13.52,32.89,-58.75,68.68
2023-06-25 16:46:00.5680,13.19,32.9,-58.7,68.57
2023-06-25 16:46:00.6680,13.05,32.92,-58.73,68.58
2023-06-25 16:46:00.7670,13.21,32.88,-58.89,68.73
2023-06-25 16:46:00.8660,13.3,33.03,-58.89,68.82
2023-06-25 16:46:00.9660,13.25,33.0,-58.74,68.66
2023-06-25 16:46:01.0650,13.24,32.44,-58.68,68.35
2023-06-25 16:46:01.1640,13.39,32.73,-58.85,68.66
2023-06-25 16:46:01.2640,13.03,32.49,-58.79,68.42
2023-06-25 16:46:01.3630,13.24,32.67,-58.64,68.42
2023-06-25 16:46:01.4620,13.22,32.49,-58.66,68.35
2023-06-25 16:46:01.5610,13.0,32.67,-58.12,67.93
2023-06-25 16:46:01.6610,13.1,32.67,-58.64,68.39
2023-06-25 16:46:01.7600,13.18,32.75,-58.63,68.43
2023-06-25 16:46:01.8590,13.37,32.72,-58.81,68.62
2023-06-25 16:46:01.9580,12.78,32.38,-58.89,68.41
2023-06-25 16:46:02.0580,12.79,32.5,-58.67,68.28
2023-06-25 16:46:02.1570,12.81,32.85,-59.19,68.9
2023-06-25 16:46:02.2560,13.14,33.04,-58.91,68.81
2023-06-25 16:46:02.3560,13.21,32.62,-58.57,68.33
2023-06-25 16:46:02.4550,13.19,32.82,-58.73,68.56
2023-06-25 16:46:02.5540,13.22,32.87,-58.83,68.67
2023-06-25 16:46:02.6540,12.98,32.93,-58.74,68.58
2023-06-25 16:46:02.7530,13.03,32.93,-58.77,68.62
2023-06-25 16:46:02.8520,13.26,32.95,-59.0,68.86
2023-06-25 16:46:02.9510,13.31,32.93,-58.72,68.63
2023-06-25 16:46:03.0500,13.07,32.91,-58.64,68.5
2023-06-25 16:46:03.1500,13.05,32.88,-58.55,68.4
2023-06-25 16:46:03.2490,13.31,32.95,-58.69,68.61
2023-06-25 16:46:03.3480,13.22,32.87,-58.37,68.28
2023-06-25 16:46:03.4530,13.11,32.95,-58.82,68.68
2023-06-25 16:46:03.5520,13.01,33.13,-58.3,68.3
2023-06-25 16:46:03.6490,13.17,33.09,-58.34,68.35
2023-06-25 16:46:03.7490,13.12,32.75,-58.43,68.25
2023-06-25 16:46:03.8520,13.56,32.83,-58.57,68.5
2023-06-25 16:46:03.9520,13.34,32.85,-58.93,68.77
2023-06-25 16:46:04.0510,13.49,33.06,-59.05,69.01
2023-06-25 16:46:04.1500,13.12,33.0,-58.94,68.81
2023-06-25 16:46:04.2580,13.06,32.94,-59.05,68.87
2023-06-25 16:46:04.3540,13.45,32.95,-58.98,68.89
2023-06-25 16:46:04.4540,13.66,32.81,-58.85,68.75
2023-06-25 16:46:04.5520,13.3,33.22,-58.52,68.59
2023-06-25 16:46:04.6560,13.18,33.11,-58.47,68.48
2023-06-25 16:46:04.7560,13.4,33.06,-58.87,68.84
2023-06-25 16:46:04.8550,13.36,33.17,-58.79,68.81
2023-06-25 16:46:04.9550,13.29,33.33,-58.81,68.89
2023-06-25 16:46:05.0610,13.65,33.39,-58.84,69.02
2023-06-25 16:46:05.1570,13.27,33.36,-58.58,68.71
2023-06-25 16:46:05.2600,13.32,32.98,-58.51,68.47
2023-06-25 16:46:05.3590,13.26,32.93,-58.41,68.35
2023-06-25 16:46:05.4350,13.47,33.12,-59.05,69.04
2023-06-25 16:46:05.5350,13.03,32.61,-59.21,68.84
2023-06-25 16:46:05.6340,13.23,32.83,-58.89,68.71
2023-06-25 16:46:05.7330,13.28,32.89,-58.62,68.52
2023-06-25 16:46:05.8330,13.08,32.64,-58.66,68.39
2023-06-25 16:46:05.9320,13.28,32.79,-58.92,68.73
2023-06-25 16:46:06.0310,13.35,32.92,-58.91,68.79
2023-06-25 16:46:06.1300,13.39,32.71,-58.97,68.75
2023-06-25 16:46:06.2300,13.26,32.91,-59.08,68.92
