time,Bx,By,Bz,Btotal
2023-06-25 16:49:28.7600,-24.45,-34.71,-53.87,68.59
2023-06-25 16:49:28.8660,-24.15,-34.65,-54.38,68.85
2023-06-25 16:49:28.9670,-24.21,-34.6,-54.16,68.68
2023-06-25 16:49:29.0710,-24.82,-35.03,-54.4,69.3
2023-06-25 16:49:29.1760,-24.44,-34.88,-54.26,68.98
2023-06-25 16:49:29.2800,-24.58,-34.81,-54.58,69.25
2023-06-25 16:49:29.3850,-24.57,-34.72,-54.03,68.77
2023-06-25 16:49:29.4890,-24.73,-34.71,-54.04,68.82
2023-06-25 16:49:29.5940,-24.41,-34.84,-54.29,68.97
2023-06-25 16:49:29.6980,-24.58,-34.76,-54.23,68.94
2023-06-25 16:49:29.8020,-24.36,-34.62,-54.16,68.74
2023-06-25 16:49:29.9060,-24.42,-34.77,-54.38,69.01
2023-06-25 16:49:30.0110,-24.12,-34.74,-54.36,68.87
2023-06-25 16:49:30.1150,-23.98,-34.31,-53.81,68.17
2023-06-25 16:49:30.2190,-23.67,-34.56,-54.19,68.49
2023-06-25 16:49:30.3230,-23.4,-34.62,-54.21,68.45
2023-06-25 16:49:30.4280,-23.39,-34.25,-54.36,68.37
2023-06-25 16:49:30.5320,-22.97,-34.13,-53.97,67.86
2023-06-25 16:49:30.6350,-23.16,-34.23,-53.88,67.9
2023-06-25 16:49:30.7400,-22.99,-34.47,-54.19,68.21
2023-06-25 16:49:30.8450,-22.69,-34.02,-54.42,68.07
2023-06-25 16:49:30.9490,-22.8,-34.31,-54.52,68.33
2023-06-25 16:49:31.0530,-22.85,-34.54,-54.24,68.24
2023-06-25 16:49:31.1580,-22.96,-34.27,-54.15,68.07
2023-06-25 16:49:31.2790,-22.81,-34.28,-54.17,68.04
2023-06-25 16:49:31.3790,-22.91,-33.92,-54.19,67.92
2023-06-25 16:49:31.4850,-23.03,-33.99,-54.04,67.87
2023-06-25 16:49:31.5840,-23.07,-34.17,-54.14,68.05
2023-06-25 16:49:31.6840,-22.69,-33.94,-54.46,68.06
2023-06-25 16:49:31.7830,-22.97,-34.19,-53.96,67.89
2023-06-25 16:49:31.8870,-22.64,-33.85,-54.0,67.63
2023-06-25 16:49:31.9910,-22.7,-33.79,-53.65,67.34
2023-06-25 16:49:32.0960,-22.77,-33.97,-54.07,67.79
2023-06-25 16:49:32.2000,-22.87,-33.98,-54.01,67.79
2023-06-25 16:49:32.3050,-23.17,-34.4,-53.97,68.07
2023-06-25 16:49:32.4090,-23.09,-34.09,-54.61,68.4
2023-06-25 16:49:32.5140,-22.98,-34.26,-53.86,67.84
2023-06-25 16:49:32.6170,-22.98,-34.3,-54.38,68.27
2023-06-25 16:49:32.7220,-23.35,-34.12,-53.98,67.99
2023-06-25 16:49:32.8260,-23.46,-34.7,-54.05,68.37
2023-06-25 16:49:32.9310,-23.5,-34.13,-54.22,68.25
2023-06-25 16:49:33.0350,-23.42,-34.4,-54.0,68.18
2023-06-25 16:49:33.1390,-23.42,-34.57,-54.01,68.27
2023-06-25 16:49:33.2430,-23.52,-34.56,-54.34,68.56
2023-06-25 16:49:33.3480,-23.41,-34.52,-54.12,68.33
2023-06-25 16:49:33.4520,-23.63,-34.65,-54.01,68.38
2023-06-25 16:49:33.5560,-23.61,-34.74,-54.29,68.64
2023-06-25 16:49:33.6610,-23.85,-34.6,-54.29,68.66
2023-06-25 16:49:33.7650,-23.61,-34.5,-54.0,68.29
2023-06-25 16:49:33.8690,-23.71,-34.83,-54.47,68.87
2023-06-25 16:49:33.9740,-23.79,-34.78,-54.65,69.01
2023-06-25 16:49:34.0970,-23.64,-34.42,-54.54,68.69
2023-06-25 16:49:34.1960,-24.01,-34.38,-54.22,68.54
2023-06-25 16:49:34.3010,-23.74,-34.73,-54.46,68.82
2023-06-25 16:49:34.4020,-23.91,-34.78,-54.39,68.84
2023-06-25 16:49:34.4990,-23.91,-34.72,-54.1,68.59
2023-06-25 16:49:34.5990,-23.75,-34.52,-53.62,68.05
2023-06-25 16:49:34.7030,-23.77,-34.62,-54.19,68.55
2023-06-25 16:49:34.8070,-23.96,-34.62,-54.08,68.54
2023-06-25 16:49:34.9120,-24.14,-34.76,-53.97,68.58
2023-06-25 16:49:35.0160,-24.26,-34.4,-53.92,68.41
2023-06-25 16:49:35.1210,-23.93,-34.45,-53.98,68.36
2023-06-25 16:49:35.2250,-23.92,-34.59,-54.05,68.48
2023-06-25 16:49:35.3290,-23.92,-34.87,-54.34,68.86
2023-06-25 16:49:35.4340,-24.11,-34.72,-53.91,68.51
2023-06-25 16:49:35.5380,-24.18,-34.73,-54.59,69.07
2023-06-25 16:49:35.6420,-23.93,-34.67,-54.51,68.89
2023-06-25 16:49:35.7470,-24.14,-34.39,-53.87,68.32
2023-06-25 16:49:35.8500,-23.73,-34.3,-53.92,68.17
2023-06-25 16:49:35.9550,-24.07,-34.8,-54.19,68.76
2023-06-25 16:49:36.0600,-24.19,-34.34,-54.41,68.74
2023-06-25 16:49:36.1630,-23.81,-34.63,-54.03,68.45
2023-06-25 16:49:36.2680,-23.87,-34.68,-53.89,68.39
2023-06-25 16:49:36.3720,-23.82,-34.75,-53.54,68.13
2023-06-25 16:49:36.4770,-23.83,-34.73,-53.74,68.28
2023-06-25 16:49:36.5810,-24.04,-34.7,-54.13,68.64
2023-06-25 16:49:36.6850,-23.82,-34.81,-54.19,68.67
2023-06-25 16:49:36.7890,-24.1,-34.71,-53.72,68.35
