time,Bx,By,Bz,Btotal
2023-06-25 16:44:43.3670,31.89,8.06,-59.05,67.59
2023-06-25 16:44:43.4700,31.87,8.18,-59.08,67.62
2023-06-25 16:44:43.5670,31.71,7.84,-58.68,67.16
2023-06-25 16:44:43.6690,31.11,7.81,-59.36,67.47
2023-06-25 16:44:43.7710,31.85,7.93,-59.24,67.72
2023-06-25 16:44:43.8740,31.72,8.03,-59.34,67.77
2023-06-25 16:44:43.9790,31.91,8.24,-59.09,67.66
2023-06-25 16:44:44.0830,31.55,7.96,-59.0,67.38
2023-06-25 16:44:44.1870,31.6,8.0,-58.34,66.83
2023-06-25 16:44:44.2920,31.97,8.11,-58.86,67.47
2023-06-25 16:44:44.3960,31.97,8.15,-59.06,67.65
2023-06-25 16:44:44.5010,31.71,8.24,-58.99,67.48
2023-06-25 16:44:44.6050,31.84,8.33,-59.06,67.61
2023-06-25 16:44:44.7080,31.7,8.34,-58.89,67.4
2023-06-25 16:44:44.8130,31.42,8.56,-58.84,67.25
2023-06-25 16:44:44.9170,31.57,8.44,-59.13,67.56
2023-06-25 16:44:45.0220,31.94,8.38,-59.18,67.77
2023-06-25 16:44:45.1260,31.61,8.58,-58.5,67.04
2023-06-25 16:44:45.2300,31.68,8.05,-58.84,67.31
2023-06-25 16:44:45.3350,31.66,8.28,-58.95,67.42
2023-06-25 16:44:45.4390,31.83,8.38,-59.04,67.59
2023-06-25 16:44:45.5440,31.43,8.01,-59.14,67.45
2023-06-25 16:44:45.6480,31.66,8.04,-58.85,67.31
2023-06-25 16:44:45.7520,31.87,8.3,-58.75,67.35
2023-06-25 16:44:45.8560,32.15,8.15,-59.23,67.89
2023-06-25 16:44:45.9610,31.42,8.23,-59.27,67.58
2023-06-25 16:44:46.0830,31.62,8.07,-58.8,67.25
2023-06-25 16:44:46.1860,32.21,8.3,-58.91,67.65
2023-06-25 16:44:46.2850,31.91,8.39,-58.91,67.52
2023-06-25 16:44:46.3840,31.8,8.37,-58.68,67.27
2023-06-25 16:44:46.4840,31.63,8.26,-58.95,67.4
2023-06-25 16:44:46.5900,31.66,8.4,-58.84,67.34
2023-06-25 16:44:46.6900,31.72,8.18,-59.3,67.74
2023-06-25 16:44:46.7940,31.41,8.35,-58.95,67.31
2023-06-25 16:44:46.8990,31.52,8.1,-59.08,67.45
2023-06-25 16:44:47.0030,31.67,8.23,-58.94,67.41
2023-06-25 16:44:47.1070,31.93,8.35,-59.05,67.65
2023-06-25 16:44:47.2120,31.52,8.13,-58.8,67.21
2023-06-25 16:44:47.3160,31.22,8.06,-58.9,67.15
2023-06-25 16:44:47.4210,31.76,8.59,-59.21,67.74
2023-06-25 16:44:47.5250,31.67,8.39,-59.06,67.54
2023-06-25 16:44:47.6290,31.41,8.37,-58.67,67.07
2023-06-25 16:44:47.7330,31.71,8.36,-59.06,67.55
2023-06-25 16:44:47.8380,31.57,8.47,-59.18,67.61
2023-06-25 16:44:47.9420,31.5,8.21,-59.19,67.55
2023-06-25 16:44:48.0460,31.47,8.41,-59.21,67.58
2023-06-25 16:44:48.1510,31.86,8.31,-58.88,67.46
2023-06-25 16:44:48.2550,31.64,8.25,-59.0,67.46
2023-06-25 16:44:48.3590,31.61,8.11,-59.27,67.66
2023-06-25 16:44:48.4640,31.64,8.15,-58.63,67.12
2023-06-25 16:44:48.5680,31.46,8.13,-58.71,67.1
2023-06-25 16:44:48.6720,31.88,8.3,-58.97,67.55
2023-06-25 16:44:48.7760,32.04,8.15,-59.03,67.66
2023-06-25 16:44:48.8980,31.46,8.39,-59.04,67.42
2023-06-25 16:44:49.0020,31.63,8.12,-58.84,67.29
2023-06-25 16:44:49.1020,31.78,8.09,-59.16,67.64
2023-06-25 16:44:49.2020,31.42,8.3,-58.85,67.23
2023-06-25 16:44:49.3030,31.49,8.56,-59.28,67.67
2023-06-25 16:44:49.4060,31.63,8.48,-58.85,67.35
2023-06-25 16:44:49.5050,31.63,8.49,-59.16,67.62
2023-06-25 16:44:49.6120,31.19,8.25,-58.57,66.87
