time,Bx,By,Bz,Btotal
2023-06-25 16:47:52.0160,-31.59,15.25,-60.03,69.53
2023-06-25 16:47:52.1200,-31.27,15.27,-59.81,69.2
2023-06-25 16:47:52.2240,-31.76,15.21,-59.33,68.99
2023-06-25 16:47:52.3290,-31.55,15.3,-59.41,68.98
2023-06-25 16:47:52.4330,-31.85,15.14,-59.55,69.2
2023-06-25 16:47:52.5370,-31.7,15.36,-59.91,69.5
2023-06-25 16:47:52.6420,-31.67,15.33,-59.91,69.48
2023-06-25 16:47:52.7460,-31.75,14.99,-59.66,69.22
2023-06-25 16:47:52.8510,-31.77,15.14,-59.52,69.15
2023-06-25 16:47:52.9550,-31.75,15.24,-59.03,68.73
2023-06-25 16:47:53.0590,-31.62,15.15,-59.18,68.79
2023-06-25 16:47:53.1630,-31.53,15.24,-59.64,69.16
2023-06-25 16:47:53.2680,-31.89,15.31,-59.9,69.57
2023-06-25 16:47:53.3720,-31.95,15.22,-59.72,69.41
2023-06-25 16:47:53.4750,-31.66,15.51,-59.34,69.02
2023-06-25 16:47:53.5800,-31.6,15.16,-59.31,68.9
2023-06-25 16:47:53.6850,-31.4,15.26,-59.55,69.03
2023-06-25 16:47:53.7890,-31.41,15.17,-59.59,69.05
2023-06-25 16:47:53.8930,-31.44,15.28,-59.8,69.27
2023-06-25 16:47:53.9970,-31.65,15.42,-59.62,69.24
2023-06-25 16:47:54.1020,-31.56,15.43,-59.42,69.03
2023-06-25 16:47:54.2060,-31.49,14.99,-59.36,68.85
2023-06-25 16:47:54.3110,-31.44,15.28,-59.07,68.64
2023-06-25 16:47:54.4330,-31.67,15.35,-59.77,69.36
2023-06-25 16:47:54.5330,-31.5,15.16,-59.67,69.15
2023-06-25 16:47:54.6290,-31.34,15.42,-59.26,68.79
2023-06-25 16:47:54.7330,-31.62,15.43,-59.33,68.98
2023-06-25 16:47:54.8330,-31.41,15.25,-59.38,68.89
2023-06-25 16:47:54.9350,-31.71,15.1,-59.48,69.08
2023-06-25 16:47:55.0400,-31.64,15.09,-59.74,69.27
2023-06-25 16:47:55.1440,-31.74,15.12,-59.59,69.18
2023-06-25 16:47:55.2490,-31.5,14.87,-59.36,68.82
2023-06-25 16:47:55.3530,-31.53,14.9,-59.49,68.96
2023-06-25 16:47:55.4570,-31.51,14.96,-59.51,68.98
2023-06-25 16:47:55.5620,-31.29,15.27,-59.25,68.72
2023-06-25 16:47:55.6650,-31.2,15.37,-59.75,69.13
2023-06-25 16:47:55.7700,-31.36,15.17,-59.74,69.15
2023-06-25 16:47:55.8750,-31.44,15.2,-59.27,68.79
2023-06-25 16:47:55.9790,-31.56,15.43,-59.39,69.0
2023-06-25 16:47:56.0830,-31.23,14.94,-59.67,68.98
2023-06-25 16:47:56.1880,-31.16,15.11,-59.57,68.91
2023-06-25 16:47:56.2920,-31.57,15.24,-59.3,68.89
2023-06-25 16:47:56.3960,-31.34,15.05,-59.52,68.93
2023-06-25 16:47:56.5000,-31.54,15.13,-59.41,68.94
2023-06-25 16:47:56.6050,-31.58,15.15,-59.65,69.18
2023-06-25 16:47:56.7090,-31.3,15.04,-59.68,69.05
2023-06-25 16:47:56.8130,-31.44,14.99,-59.28,68.76
2023-06-25 16:47:56.9180,-31.46,14.97,-59.58,69.02
2023-06-25 16:47:57.0220,-31.4,15.04,-59.5,68.94
2023-06-25 16:47:57.1260,-31.35,14.96,-59.49,68.89
2023-06-25 16:47:57.2500,-31.48,15.23,-59.23,68.79
2023-06-25 16:47:57.3480,-31.26,15.34,-59.15,68.64
2023-06-25 16:47:57.4490,-31.1,15.26,-59.44,68.79
2023-06-25 16:47:57.5530,-31.41,15.21,-59.26,68.78
2023-06-25 16:47:57.6510,-31.36,15.24,-59.54,69.0
2023-06-25 16:47:57.7510,-31.49,15.34,-59.54,69.08
2023-06-25 16:47:57.8550,-31.39,15.31,-59.55,69.04
2023-06-25 16:47:57.9600,-31.5,15.33,-59.26,68.84
2023-06-25 16:47:58.0640,-31.33,15.41,-59.33,68.84
2023-06-25 16:47:58.1690,-31.28,15.51,-59.41,68.91
2023-06-25 16:47:58.2730,-31.48,15.39,-59.93,69.42
2023-06-25 16:47:58.3770,-31.63,15.32,-59.29,68.92
2023-06-25 16:47:58.4820,-31.74,15.35,-59.24,68.93
2023-06-25 16:47:58.5860,-31.54,15.42,-59.55,69.13
2023-06-25 16:47:58.6910,-31.46,15.39,-59.09,68.69
2023-06-25 16:47:58.7950,-31.55,15.27,-59.18,68.78
2023-06-25 16:47:58.8990,-31.65,15.53,-59.95,69.55
2023-06-25 16:47:59.0030,-31.61,15.51,-60.05,69.61
2023-06-25 16:47:59.1080,-31.52,15.39,-59.25,68.86
2023-06-25 16:47:59.2120,-31.4,15.35,-59.33,68.86
2023-06-25 16:47:59.3170,-31.66,15.38,-59.59,69.21
2023-06-25 16:47:59.4210,-31.57,15.58,-59.27,68.93
2023-06-25 16:47:59.5250,-31.49,15.32,-58.99,68.6
2023-06-25 16:47:59.6290,-31.78,15.59,-59.34,69.1
2023-06-25 16:47:59.7340,-31.61,15.65,-59.44,69.11
2023-06-25 16:47:59.8370,-31.57,15.45,-59.68,69.26
2023-06-25 16:47:59.9420,-31.56,15.37,-59.26,68.87
2023-06-25 16:48:00.0680,-31.73,15.09,-59.67,69.25
2023-06-25 16:48:00.1680,-31.69,15.34,-59.54,69.17
2023-06-25 16:48:00.2690,-31.86,15.26,-59.45,69.15
2023-06-25 16:48:00.3680,-31.53,15.62,-59.59,69.2
2023-06-25 16:48:00.4670,-31.69,15.43,-59.36,69.03
2023-06-25 16:48:00.5670,-31.7,15.49,-59.8,69.43
