time,Bx,By,Bz,Btotal
2023-06-25 16:46:32.1520,-12.08,36.56,-61.78,72.8
2023-06-25 16:46:32.2570,-12.21,36.14,-61.62,72.47
2023-06-25 16:46:32.3790,-11.98,36.48,-61.95,72.88
2023-06-25 16:46:32.4840,-12.32,36.29,-61.5,72.46
2023-06-25 16:46:32.5820,-11.72,36.41,-61.59,72.5
2023-06-25 16:46:32.6810,-12.21,36.61,-61.66,72.74
2023-06-25 16:46:32.7810,-12.07,36.58,-61.61,72.66
2023-06-25 16:46:32.8850,-11.91,36.7,-61.72,72.79
2023-06-25 16:46:32.9870,-12.2,36.45,-61.8,72.77
2023-06-25 16:46:33.0920,-12.14,36.8,-61.75,72.9
2023-06-25 16:46:33.1960,-12.08,36.75,-61.91,73.0
2023-06-25 16:46:33.3010,-12.19,36.51,-61.6,72.64
2023-06-25 16:46:33.4050,-12.22,36.48,-61.51,72.55
2023-06-25 16:46:33.5100,-12.07,36.58,-61.82,72.84
2023-06-25 16:46:33.6140,-12.19,36.67,-61.28,72.44
2023-06-25 16:46:33.7180,-12.2,36.54,-61.63,72.68
2023-06-25 16:46:33.8220,-12.04,36.83,-61.98,73.09
2023-06-25 16:46:33.9270,-12.19,36.84,-61.53,72.74
2023-06-25 16:46:34.0310,-12.17,36.8,-61.7,72.87
2023-06-25 16:46:34.1350,-12.14,36.37,-61.29,72.3
2023-06-25 16:46:34.2400,-12.24,36.31,-61.23,72.23
2023-06-25 16:46:34.3440,-11.96,36.36,-61.33,72.3
2023-06-25 16:46:34.4480,-12.0,36.56,-61.87,72.86
2023-06-25 16:46:34.5520,-11.96,36.56,-61.68,72.69
2023-06-25 16:46:34.6570,-12.17,36.76,-61.69,72.84
2023-06-25 16:46:34.7610,-12.2,36.74,-61.88,73.0
2023-06-25 16:46:34.8650,-12.18,36.11,-61.39,72.26
2023-06-25 16:46:34.9690,-12.11,36.21,-61.76,72.61
2023-06-25 16:46:35.0740,-12.21,36.29,-61.53,72.48
2023-06-25 16:46:35.1950,-12.31,36.61,-61.99,73.03
2023-06-25 16:46:35.3000,-12.53,36.61,-62.03,73.11
2023-06-25 16:46:35.4000,-12.44,36.39,-61.42,72.47
2023-06-25 16:46:35.4990,-12.32,36.41,-61.65,72.65
2023-06-25 16:46:35.5990,-12.09,36.07,-61.79,72.56
2023-06-25 16:46:35.7030,-12.13,36.01,-61.45,72.25
2023-06-25 16:46:35.8030,-12.21,36.32,-62.03,72.91
2023-06-25 16:46:35.9080,-12.11,36.41,-61.78,72.72
2023-06-25 16:46:36.0120,-12.17,36.13,-61.57,72.42
2023-06-25 16:46:36.1160,-12.35,36.18,-61.73,72.61
2023-06-25 16:46:36.2210,-12.29,36.4,-61.29,72.34
2023-06-25 16:46:36.3240,-12.29,36.4,-62.16,73.08
2023-06-25 16:46:36.4290,-11.89,36.49,-61.97,72.89
2023-06-25 16:46:36.5330,-12.12,36.13,-61.79,72.6
2023-06-25 16:46:36.6390,-12.17,36.25,-61.67,72.56
2023-06-25 16:46:36.7430,-12.07,36.2,-61.68,72.52
2023-06-25 16:46:36.8470,-11.86,36.24,-61.85,72.66
2023-06-25 16:46:36.9510,-12.06,36.44,-61.85,72.79
2023-06-25 16:46:37.0550,-12.4,36.45,-61.68,72.71
2023-06-25 16:46:37.1600,-12.12,36.5,-62.09,73.04
2023-06-25 16:46:37.2640,-12.46,36.48,-62.16,73.15
2023-06-25 16:46:37.3680,-12.14,36.26,-61.6,72.5
2023-06-25 16:46:37.4730,-12.09,36.24,-61.44,72.35
2023-06-25 16:46:37.5770,-11.95,36.18,-62.12,72.87
2023-06-25 16:46:37.6810,-11.96,36.48,-62.2,73.09
2023-06-25 16:46:37.7850,-12.19,36.25,-61.73,72.62
2023-06-25 16:46:37.8900,-12.25,36.67,-61.82,72.92
2023-06-25 16:46:38.0130,-12.06,36.44,-61.44,72.44
2023-06-25 16:46:38.1180,-11.89,36.38,-61.95,72.82
2023-06-25 16:46:38.2190,-12.33,36.22,-62.03,72.89
2023-06-25 16:46:38.3190,-12.02,36.81,-62.04,73.13
2023-06-25 16:46:38.4160,-12.29,36.72,-62.06,73.15
2023-06-25 16:46:38.5210,-12.08,36.28,-61.99,72.83
2023-06-25 16:46:38.6190,-12.34,36.12,-61.7,72.55
2023-06-25 16:46:38.7230,-12.32,36.17,-61.4,72.32
2023-06-25 16:46:38.8270,-12.1,36.2,-61.77,72.61
2023-06-25 16:46:38.9320,-12.23,36.48,-61.96,72.94
2023-06-25 16:46:39.0360,-12.36,36.36,-61.86,72.82
2023-06-25 16:46:39.1410,-12.39,36.32,-61.49,72.48
2023-06-25 16:46:39.2460,-12.45,36.28,-61.53,72.51
2023-06-25 16:46:39.3490,-12.29,36.55,-61.88,72.91
2023-06-25 16:46:39.4540,-12.05,36.34,-61.85,72.74
2023-06-25 16:46:39.5590,-12.3,36.38,-61.72,72.69
2023-06-25 16:46:39.6620,-12.28,36.5,-62.2,73.15
2023-06-25 16:46:39.7670,-12.39,36.21,-61.71,72.62
2023-06-25 16:46:39.8710,-12.3,36.35,-61.97,72.89
2023-06-25 16:46:39.9760,-12.59,36.28,-61.2,72.25
2023-06-25 16:46:40.0800,-12.32,36.42,-62.01,72.97
2023-06-25 16:46:40.1930,-12.32,36.33,-62.0,72.91
2023-06-25 16:46:40.2930,-12.1,36.45,-61.32,72.36
2023-06-25 16:46:40.3930,-12.43,36.32,-61.47,72.47
2023-06-25 16:46:40.4920,-12.12,36.42,-61.38,72.39
2023-06-25 16:46:40.5920,-12.16,36.61,-61.61,72.69
2023-06-25 16:46:40.6910,-12.58,36.45,-61.45,72.54
2023-06-25 16:46:40.7900,-12.3,36.43,-61.19,72.27
2023-06-25 16:46:40.8890,-12.18,36.17,-61.29,72.2
2023-06-25 16:46:40.9890,-12.03,36.36,-61.37,72.34
2023-06-25 16:46:41.0880,-12.1,36.44,-61.67,72.64
2023-06-25 16:46:41.1870,-12.23,36.37,-61.68,72.64
2023-06-25 16:46:41.2870,-12.26,36.39,-61.6,72.59
2023-06-25 16:46:41.3860,-11.81,36.61,-61.49,72.54
2023-06-25 16:46:41.4850,-11.94,36.49,-61.8,72.75
