time,distance
2023-06-27 20:22:23.528516,1.05
2023-06-27 20:22:24.028871,1.12
2023-06-27 20:22:24.528578,1.05
2023-06-27 20:22:25.028623,1.09
2023-06-27 20:22:25.528651,1.05
2023-06-27 20:22:26.028683,1.11
2023-06-27 20:22:26.528722,1.06
2023-06-27 20:22:27.028743,1.11
2023-06-27 20:22:27.529446,1.09
2023-06-27 20:22:28.028974,1.11
2023-06-27 20:22:28.528926,1.11
2023-06-27 20:22:29.029354,1.09
2023-06-27 20:22:29.529767,1.10
2023-06-27 20:22:30.029019,1.10
2023-06-27 20:22:30.529329,1.11
2023-06-27 20:22:31.029541,1.07
2023-06-27 20:22:31.530083,1.14
2023-06-27 20:22:32.029172,1.10
2023-06-27 20:22:32.529410,1.09
2023-06-27 20:22:33.029519,1.10
2023-06-27 20:22:33.529140,1.10
2023-06-27 20:22:34.029498,1.09
2023-06-27 20:22:34.529589,1.09
2023-06-27 20:22:35.029758,1.12
2023-06-27 20:22:35.529995,1.11
2023-06-27 20:22:36.029487,1.11
