time,distance
2023-06-27 18:23:27.430171,0.00
2023-06-27 18:23:27.930181,0.00
2023-06-27 18:23:28.431985,0.00
2023-06-27 18:23:28.930410,0.00
2023-06-27 18:23:29.431055,0.00
2023-06-27 18:23:29.931717,0.00
2023-06-27 18:23:30.430679,0.47
2023-06-27 18:23:30.930825,0.63
2023-06-27 18:23:31.430983,0.39
2023-06-27 18:23:31.931182,0.41
2023-06-27 18:23:32.430288,0.38
2023-06-27 18:23:32.930289,0.43
2023-06-27 18:23:33.430256,0.00
2023-06-27 18:23:33.930275,0.00
2023-06-27 18:23:34.430288,0.00
2023-06-27 18:23:34.930317,0.22
2023-06-27 18:23:35.430384,0.23
2023-06-27 18:23:35.930670,0.24
2023-06-27 18:23:36.430349,0.21
2023-06-27 18:23:36.930533,0.24
2023-06-27 18:23:37.431239,0.30
2023-06-27 18:23:37.930574,0.33
2023-06-27 18:23:38.430634,0.38
2023-06-27 18:23:38.930806,0.32
2023-06-27 18:23:39.431009,0.51
2023-06-27 18:23:39.930426,0.61
2023-06-27 18:23:40.430485,0.30
2023-06-27 18:23:40.930742,0.32
2023-06-27 18:23:41.430464,0.19
2023-06-27 18:23:41.930460,0.21
2023-06-27 18:23:42.430475,0.32
2023-06-27 18:23:42.930476,0.54
2023-06-27 18:23:43.430477,0.32
2023-06-27 18:23:43.930473,0.35
2023-06-27 18:23:44.430496,0.38
2023-06-27 18:23:44.930888,0.37
2023-06-27 18:23:45.431024,0.29
2023-06-27 18:23:45.931175,0.37
2023-06-27 18:23:46.431357,0.41
2023-06-27 18:23:46.930692,0.38
2023-06-27 18:23:47.430709,0.35
2023-06-27 18:23:47.930538,0.29
2023-06-27 18:23:48.430582,0.36
2023-06-27 18:23:48.930567,0.40
2023-06-27 18:23:49.430564,0.38
2023-06-27 18:23:49.930568,0.39
2023-06-27 18:23:50.430596,0.33
2023-06-27 18:23:50.930927,0.36
2023-06-27 18:23:51.430611,0.42
2023-06-27 18:23:51.930622,0.21
2023-06-27 18:23:52.430606,0.51
2023-06-27 18:23:52.931270,0.36
2023-06-27 18:23:53.431406,0.35
2023-06-27 18:23:53.930846,0.28
2023-06-27 18:23:54.430833,0.29
2023-06-27 18:23:54.930853,0.34
2023-06-27 18:23:55.431007,0.34
2023-06-27 18:23:55.931209,0.40
2023-06-27 18:23:56.431284,0.39
2023-06-27 18:23:56.931513,0.40
2023-06-27 18:23:57.430703,0.41
2023-06-27 18:23:57.930712,0.40
2023-06-27 18:23:58.430725,0.23
2023-06-27 18:23:58.930724,0.30
2023-06-27 18:23:59.430746,0.32
2023-06-27 18:23:59.930731,0.35
2023-06-27 18:24:00.430751,0.39
2023-06-27 18:24:00.931079,0.47
2023-06-27 18:24:01.430769,0.38
2023-06-27 18:24:01.930770,0.68
2023-06-27 18:24:02.431689,0.35
2023-06-27 18:24:02.930895,0.75
2023-06-27 18:24:03.431034,0.66
2023-06-27 18:24:03.931237,0.45
2023-06-27 18:24:04.431472,0.66
2023-06-27 18:24:04.931518,0.36
2023-06-27 18:24:05.430910,0.30
2023-06-27 18:24:05.932120,0.47
2023-06-27 18:24:06.431195,0.42
