time,distance
2023-06-27 18:36:59.034173,0.25
2023-06-27 18:36:59.534321,0.27
2023-06-27 18:37:00.034428,0.24
2023-06-27 18:37:00.534546,0.26
2023-06-27 18:37:01.034688,0.00
2023-06-27 18:37:01.534778,0.00
2023-06-27 18:37:02.035226,0.00
2023-06-27 18:37:02.535051,0.00
2023-06-27 18:37:03.035871,0.00
2023-06-27 18:37:03.537291,0.00
2023-06-27 18:37:04.035465,0.00
2023-06-27 18:37:04.535598,0.00
2023-06-27 18:37:05.035729,0.00
2023-06-27 18:37:05.535862,0.00
2023-06-27 18:37:06.036028,0.00
2023-06-27 18:37:06.536216,0.17
2023-06-27 18:37:07.036651,0.20
2023-06-27 18:37:07.536466,0.32
2023-06-27 18:37:08.036667,0.32
2023-06-27 18:37:08.536742,0.51
2023-06-27 18:37:09.037440,0.43
2023-06-27 18:37:09.537839,0.53
2023-06-27 18:37:10.037755,0.40
2023-06-27 18:37:10.537416,0.44
2023-06-27 18:37:11.037776,0.45
2023-06-27 18:37:11.538153,0.39
2023-06-27 18:37:12.038467,0.40
2023-06-27 18:37:12.538846,0.37
2023-06-27 18:37:13.038677,0.40
2023-06-27 18:37:13.539117,0.18
2023-06-27 18:37:14.038219,0.00
2023-06-27 18:37:14.538356,0.00
2023-06-27 18:37:15.038501,0.00
2023-06-27 18:37:15.538663,0.30
2023-06-27 18:37:16.038850,0.47
2023-06-27 18:37:16.538945,0.76
2023-06-27 18:37:17.039435,1.10
2023-06-27 18:37:17.539240,1.49
2023-06-27 18:37:18.039372,1.79
2023-06-27 18:37:18.539507,2.17
2023-06-27 18:37:19.039767,2.51
2023-06-27 18:37:19.539952,2.86
2023-06-27 18:37:20.040365,3.16
2023-06-27 18:37:20.540528,3.39
2023-06-27 18:37:21.040904,3.75
2023-06-27 18:37:21.541165,4.05
2023-06-27 18:37:22.041397,4.32
2023-06-27 18:37:22.540721,4.68
2023-06-27 18:37:23.041117,5.03
2023-06-27 18:37:23.541257,5.33
2023-06-27 18:37:24.041074,5.69
2023-06-27 18:37:24.541207,5.98
2023-06-27 18:37:25.041359,6.32
2023-06-27 18:37:25.541505,6.60
2023-06-27 18:37:26.041653,6.95
2023-06-27 18:37:26.541770,7.25
2023-06-27 18:37:27.042288,7.55
2023-06-27 18:37:27.542040,7.89
2023-06-27 18:37:28.042197,8.16
2023-06-27 18:37:28.542359,8.50
2023-06-27 18:37:29.042921,8.82
2023-06-27 18:37:29.543117,9.13
2023-06-27 18:37:30.043403,9.36
2023-06-27 18:37:30.543879,9.70
2023-06-27 18:37:31.043169,9.96
2023-06-27 18:37:31.543428,10.02
2023-06-27 18:37:32.044008,10.07
2023-06-27 18:37:32.544008,10.13
2023-06-27 18:37:33.044311,10.39
2023-06-27 18:37:33.544531,10.56
2023-06-27 18:37:34.044019,10.56
2023-06-27 18:37:34.544164,10.72
2023-06-27 18:37:35.044312,10.90
2023-06-27 18:37:35.544452,10.98
2023-06-27 18:37:36.044586,11.26
2023-06-27 18:37:36.544751,11.48
2023-06-27 18:37:37.045195,11.63
2023-06-27 18:37:37.545033,11.90
2023-06-27 18:37:38.045174,12.11
2023-06-27 18:37:38.545301,12.32
2023-06-27 18:37:39.046000,12.62
2023-06-27 18:37:39.546259,12.84
2023-06-27 18:37:40.046595,13.07
2023-06-27 18:37:40.546024,13.15
2023-06-27 18:37:41.046221,13.33
2023-06-27 18:37:41.546528,13.45
2023-06-27 18:37:42.046845,13.71
2023-06-27 18:37:42.547186,13.96
2023-06-27 18:37:43.047476,14.13
2023-06-27 18:37:43.546876,14.35
2023-06-27 18:37:44.547069,14.76
2023-06-27 18:37:45.047228,14.98
2023-06-27 18:37:45.547347,15.18
2023-06-27 18:37:46.047499,15.41
2023-06-27 18:37:46.547658,15.67
2023-06-27 18:37:47.048113,15.92
2023-06-27 18:37:47.547946,16.13
2023-06-27 18:37:48.048102,16.31
2023-06-27 18:37:48.548240,16.40
2023-06-27 18:37:49.048501,16.67
2023-06-27 18:37:49.548674,16.81
2023-06-27 18:37:50.048819,16.97
2023-06-27 18:37:50.549087,17.25
2023-06-27 18:37:51.049373,17.36
2023-06-27 18:37:51.549560,17.59
2023-06-27 18:37:52.049968,17.80
2023-06-27 18:37:52.550150,18.05
2023-06-27 18:37:53.050425,18.19
2023-06-27 18:37:53.549868,18.42
2023-06-27 18:37:54.750067,18.98
2023-06-27 18:37:55.250211,19.08
2023-06-27 18:37:55.750360,19.24
2023-06-27 18:38:05.660122,20.43
2023-06-27 18:38:48.766986,9.44
