angle,offset,mean,max,min,std
60 degree,10.31968339263949,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
30 degree,4.168684458899875,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
270 degree,8.136039867164413,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
180 degree,-4.535529576535794,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
120 degree,-7.337256722279733,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
240 degree,7.9639036912132894,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
0 degree,-0.9865575916369096,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
330 degree,-3.488216997286941,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
150 degree,14.585246512255535,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
210 degree,8.693677875086372,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
90 degree,18.490504005841075,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
300 degree,-1.941424127651416,4.505729565642438,18.490504005841075,-7.337256722279733,8.154185486570004
