compassHeading,filteredHeading
178.55587446906418,178.55587446906418
176.29157184286956,177.42372315596685
176.15396990995265,176.78884653295975
175.072890052351,175.93086829265536
175.8150838748816,175.8729760837685
180.8746767711213,178.3738264274449
184.15128526642167,181.26255584693328
179.0451587461278,180.15385729653053
178.98602127721472,179.56993928687262
181.52076966114376,180.5453544740082
175.80233164283908,178.17384305842364
175.88181029601122,177.02782667721743
179.52649194126508,178.27715930924126
175.985824304589,177.1314918069151
181.81830296445182,179.47489738568345
174.0150476848846,176.74497253528403
178.09084756700364,177.41791005114385
181.35319195377969,179.38555100246177
181.3748347805694,180.38019289151558
178.49256424122504,179.4363785663703
177.91743472026914,178.67690664331974
180.0,179.33845332165987
181.8476102659946,180.59303179382724
173.60560223477242,177.09931701429983
173.60560223477242,175.35245962453612
173.60560223477242,174.47903092965427
173.60560223477242,174.04231658221335
173.60560223477242,173.8239594084929
173.60560223477242,173.71478082163264
173.60560223477242,173.66019152820252
173.60560223477242,173.63289688148745
176.45131802609555,175.04210745379152
173.23382517744693,174.13796631561922
178.09084756700364,176.11440694131142
178.13737905069334,177.1258929960024
176.698134325565,176.9120136607837
