x,y,z,offset_x,offset_y,offset_z,cal_x,cal_y,cal_z
-4.649990000000001,-8.625001,22.65,-1.72499,0.5249990000000002,21.375,-2.9250000000000007,-9.149999999999999,1.2749999999999986
-4.649990000000001,-8.625001,22.65,-1.72499,0.5249990000000002,21.375,-2.9250000000000007,-9.149999999999999,1.2749999999999986
-3.7499900000000004,-8.775001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.0250000000000004,-9.3,0.9749999999999979
-3.7499900000000004,-8.775001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.0250000000000004,-9.3,0.9749999999999979
-3.7499900000000004,-8.775001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.0250000000000004,-9.3,0.9749999999999979
-3.7499900000000004,-8.775001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.0250000000000004,-9.3,0.9749999999999979
-5.09999,-7.575001,23.25,-1.72499,0.5249990000000002,21.375,-3.375,-8.100000000000001,1.875
-5.09999,-7.575001,23.25,-1.72499,0.5249990000000002,21.375,-3.375,-8.100000000000001,1.875
-5.09999,-7.575001,23.25,-1.72499,0.5249990000000002,21.375,-3.375,-8.100000000000001,1.875
-5.09999,-7.575001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-3.375,-8.100000000000001,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.99999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-4.275,-7.499999999999999,0.9749999999999979
-5.399990000000001,-7.875000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.6750000000000007,-8.399999999999999,0.07499999999999929
-5.399990000000001,-7.875000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.6750000000000007,-8.399999999999999,0.07499999999999929
-5.399990000000001,-7.875000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.6750000000000007,-8.399999999999999,0.07499999999999929
-5.399990000000001,-7.875000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.6750000000000007,-8.399999999999999,0.07499999999999929
-5.09999,-8.325000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.375,-8.849999999999998,0.07499999999999929
-5.09999,-8.325000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.375,-8.849999999999998,0.07499999999999929
-5.09999,-8.325000999999999,21.45,-1.72499,0.5249990000000002,21.375,-3.375,-8.849999999999998,0.07499999999999929
-5.09999,-8.325000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-3.375,-8.849999999999998,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-4.49999,-8.175001,22.349999999999998,-1.72499,0.5249990000000002,21.375,-2.7750000000000004,-8.7,0.9749999999999979
-6.899990000000001,-8.325000999999999,21.9,-1.72499,0.5249990000000002,21.375,-5.175000000000001,-8.849999999999998,0.5249999999999986
-6.899990000000001,-8.325000999999999,21.9,-1.72499,0.5249990000000002,21.375,-5.175000000000001,-8.849999999999998,0.5249999999999986
-6.899990000000001,-8.325000999999999,21.9,-1.72499,0.5249990000000002,21.375,-5.175000000000001,-8.849999999999998,0.5249999999999986
-6.899990000000001,-8.325000999999999,22.8,-1.72499,0.5249990000000002,21.375,-5.175000000000001,-8.849999999999998,1.4250000000000007
-5.549990000000001,-7.725000999999999,22.8,-1.72499,0.5249990000000002,21.375,-3.825000000000001,-8.25,1.4250000000000007
-5.549990000000001,-7.725000999999999,22.8,-1.72499,0.5249990000000002,21.375,-3.825000000000001,-8.25,1.4250000000000007
-5.549990000000001,-7.725000999999999,22.8,-1.72499,0.5249990000000002,21.375,-3.825000000000001,-8.25,1.4250000000000007
-5.549990000000001,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-3.825000000000001,-7.499999999999999,0.9749999999999979
-6.74999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-5.025,-7.499999999999999,0.9749999999999979
-6.74999,-6.975000999999999,22.349999999999998,-1.72499,0.5249990000000002,21.375,-5.025,-7.499999999999999,0.9749999999999979
