compassHeading,filteredHeading
174.88268515002736,174.88268515002736
176.698134325565,175.79040973779618
176.98721249581666,176.38881111680644
213.21525149373718,194.8020313052718
188.97262661489637,191.8873289600841
227.76385737091258,209.82559316549833
212.56043798115346,211.1930155733259
248.19859051364818,229.69580304348705
233.47114463301483,231.58347383825094
242.47477425625567,237.0291240472533
275.4638428132366,256.24648343024495
293.81865049973374,275.0325669649893
282.6258368789073,278.8292019219483
322.2418668589162,300.53553439043225
322.0283962389496,311.2819653146909
342.86700384965684,327.0744845821739
329.76919853029165,328.4218415562328
10.007979801441342,169.21491067883707
2.121096396661455,85.66800353774926
22.46674992099573,54.0673767293725
5.403791360249713,29.735584044811105
41.18592516570964,35.46075460526038
24.092019528990342,29.77638706712536
50.565098834911645,40.170742951018504
51.00900595749452,45.58987445425652
72.47443162627714,59.03215304026683
47.290610042638534,53.161381541452684
62.17590361574674,57.668642578599716
68.57470620191262,63.12167439025617
114.51964268819076,88.82065853922346
102.2647737278924,95.54271613355793
124.63367739654952,110.08819676505372
128.81138403675843,119.44979040090607
154.04662429763582,136.74820734927096
152.35402463626133,144.55111599276614
173.79655209830818,159.17383404553715
168.6900675259798,163.9319507857585
164.05460409907712,163.99327744241782
146.48199135474812,155.23763439858297
155.01356679522013,155.12560059690156
