time,x,y,z,v_x,v_y,p_x,p_y
42.101261,-0.6200982299804687,-5.868188269042968,7.841010437011718,0.0,0.0,0.0,0.0
42.297435,-0.5099649536132812,-6.004657763671875,7.879317663574218,-0.3688575917968757,-5.7402490163574225,0.011745204101561324,-2.673950508178712
42.495816,-0.5770026000976562,-5.746083984375,7.903259680175781,-0.7139603686523468,-11.417238890380862,-0.33128277612305224,-11.054313461547856
42.692525,-0.4836287353515625,-5.834669445800781,7.8553756469726554,-1.0475670363769507,-17.010906605468747,-1.0153374786376954,-25.071677209472654
42.888981,-0.49799394531249996,-5.774814404296874,7.874529260253905,-1.3419223767089843,-22.619192530517577,-2.013626185180665,-44.69027077746582
43.085531,-0.5099649536132812,-5.9974751586914055,7.867346655273437,-1.649351826171873,-28.308787312011717,-3.3127132866210918,-69.95771069873047
43.281945,-0.5339069702148437,-5.904101293945312,7.9295958984374995,-1.9748737880859384,-34.06316153833008,-4.9284120937500004,-100.94727112390137
43.478704,-0.36152445068359373,-5.736507177734374,7.800309008789062,-2.225830498535157,-39.68670677416992,-6.832005237060548,-137.62544628015138
43.674886,-0.47884033203125,-5.691017346191406,7.924807495117187,-2.4498308898925787,-45.20428703613281,-8.973653931274416,-179.87476118530276
43.870962,-0.7015010864257812,-5.935225915527344,7.7596075805664055,-2.8439255991210963,-50.821332666992184,-11.424456175781255,-227.69149503686526
44.067164,-0.6919242797851562,-5.942408520507812,7.941566906738281,-3.3444362822265656,-56.56394788500976,-14.322435116455086,-281.1879333128662
44.26493,-0.5363011718749999,-5.65031591796875,7.862558251953125,-3.7607830080566425,-62.16254410424804,-17.67727876159669,-340.3534133074951
44.462652,-0.3112462158203125,-5.827486840820312,7.8338278320312495,-3.9868347019043,-67.70372348364258,-21.35336561657716,-405.0888251014404
44.660473,-0.5913678100585937,-5.877765075683594,7.745242370605468,-4.240320714843748,-73.35852844189452,-25.26912232495118,-475.422130064209
44.85726,-0.5602431884765625,-5.949591125488281,7.843404638671874,-4.619339214111333,-79.07541954248046,-29.502165289428728,-551.4423170563965
45.053412,-0.5913678100585937,-5.717353564453124,7.939172705078125,-4.9989927133789065,-84.71273988745116,-34.11517925317384,-633.1402447713624
45.249968,-0.3711012573242187,-5.877765075683594,7.788338000488281,-5.283671247070312,-90.31374320751952,-39.05995523339845,-720.4569303188478
45.44885,-0.5602431884765625,-5.868188269042968,7.7979148071289055,-5.550461469970704,-95.9878378798828,-44.27813959191896,-813.4088388625489
45.645803,-0.5602431884765625,-5.839457849121094,7.917624890136718,-5.913751658447266,-101.64470793896484,-49.81329315612794,-912.0281587719727
45.842639,-0.5530605834960938,-5.846640454101562,7.881711865234375,-6.273567544433597,-107.29092109057618,-55.71011675756837,-1016.2991372867433
46.038956,-0.5530605834960938,-5.868188269042968,7.773972790527344,-6.63031112792969,-112.95201845214845,-61.96573909375002,-1126.2242900581057
46.235066,-0.48123453369140623,-6.028599780273437,7.958326318359375,-6.951348686523435,-118.70430247680665,-68.56045900097658,-1241.8563405225832
46.431621,-0.5339069702148437,-5.6766521362304685,7.8362220336914055,-7.262364438476563,-124.36037343505859,-75.47076056347657,-1363.192123478516
46.628024,-0.40462008056640625,-5.772420202636718,7.790732202148437,-7.535224963867185,-129.8885066044922,-82.67315226464845,-1490.1201604982914
46.824217,-0.6272808349609375,-5.877765075683594,7.824251025390624,-7.854982421630863,-135.51740624365235,-90.17206295739749,-1622.6269239223636
47.020397,-0.689530078125,-5.930437512207031,7.9846625366210935,-8.317207878173827,-141.22532753759765,-98.06197810729984,-1760.8021108129888
