date,x,y,x_est,y_est,v_x,v_y,p_x,p_y
24.780335,-0.0228646258544922,-0.0143652099609375,0.0,0.0,0.0,0.0,0.0,0.0
25.305795,0.013048399047851551,0.028730419921875,0.00782903942871093,0.017238251953125,0.002056923529105219,0.004529005935644522,0.0005404155188018131,0.0011899057294718829
25.830958,-0.006105214233398451,-0.04070142822265624,0.0026036943054199117,-0.004489128112792968,0.004796366402113892,0.007876689997324661,0.002339962668876221,0.004447411976094825
26.356259,-0.025258827514648446,0.009576806640625005,-0.004995175281871458,-0.0006529640891335211,0.004168242727908403,0.006526116909442561,0.004694521739181153,0.008230316411560707
26.881379,0.03699041564941405,0.040701428222656245,0.004001737060546866,0.00820869140625,0.003907405588517419,0.008509948673824656,0.0068148639611419065,0.01217818579110333
27.406379,0.013048399047851551,0.021547814941406243,0.005598206823012399,0.010562654383042278,0.006427390857951736,0.013437426943513898,0.00952774802834007,0.017939371890654723
27.931392,-0.0013168109130859487,0.0430956298828125,0.004560954162597647,0.015442600708007811,0.009094236651220769,0.020263975439072608,0.013602276140076645,0.02678620907519913
28.456455,-0.006105214233398451,0.009576806640625005,0.003169714806598156,0.014677497134001358,0.011123780771707194,0.02817144990568203,0.01891014258114405,0.03950203394409557
28.981562,0.008259995727539049,-0.0143652099609375,0.0037570549128605668,0.011326415546123798,0.012942428405245107,0.034998868193543295,0.02522881003228502,0.05608762205716059
29.506676,-0.030047230834960942,-0.021547814941406243,0.0002600598354997215,0.007925633081896553,0.013997150002230337,0.04005362832517042,0.03230198492021653,0.07579318038562445
30.031768,-0.010893617553710946,0.040701428222656245,-0.0007855974197387787,0.010998363876342775,0.01385917221163871,0.04502204803056833,0.039615550892179,0.09812945891011826
30.556882,-0.03483563415527345,-0.011971008300781252,-0.003704171997070322,0.009029560546875,0.012680351822869558,0.05028051978335514,0.04658368870410741,0.12315181520763865
31.082034,0.005865794067382801,-0.028730419921875,-0.0029486483604029704,0.006048509457236843,0.010933480864685655,0.0542396590927548,0.05278411443587489,0.15059630569621202
31.607757,0.041778818969726544,0.028730419921875,0.0003240931515577257,0.007708161442454269,0.010243586345655782,0.05785575824045395,0.05835075008838605,0.18006187523954523
32.132812,0.010654197387695297,0.031124621582031248,0.0010284184403852874,0.009304738270152699,0.010598657832609604,0.06232211226975539,0.06382241234689563,0.2116118711399143
32.658212,-0.025258827514648446,0.07900865478515624,-0.0006494908758934615,0.01375392443068484,0.010698202103801607,0.06837962296126539,0.06941709745219084,0.2459472169851033
33.183248,0.0441730206298828,0.019153613281249995,0.002039859814453114,0.014077905761718749,0.01106319897681441,0.0756859793597148,0.07512985694107199,0.2837670307752024
33.708292,-0.008499415893554699,0.0383072265625,0.0014432970385281436,0.015449376750442216,0.011977604280172758,0.08343754061937234,0.08117857469370279,0.3255404554871524
34.233469,0.008259995727539049,-0.052672436523437505,0.001808477325439442,0.011799993896484373,0.01283148283274546,0.09059291198349281,0.08769315566505331,0.3712388509904598
34.758643,-0.018076222534179703,0.05027823486328125,0.0007973908918994855,0.013756514623609637,0.013515749950331836,0.09730371888625873,0.09461159647986322,0.4205780636006552
35.283832,0.0393846173095703,0.055066638183593745,0.002664514750819041,0.015755391570060482,0.014424827331628682,0.1050533831372324,0.10194863840093098,0.4737159256279626
35.809,0.015442600708007799,0.028730419921875,0.003254272564227753,0.016354239032451923,0.01597900617996293,0.11348485837936254,0.10993219861973876,0.5311005712383563
36.33461,-0.030047230834960942,-0.0143652099609375,0.0017850885907341341,0.014998969223920036,0.01730337548829269,0.12172463827517838,0.11867897493406468,0.592914803006653
36.859649,-0.013287819213867194,0.0430956298828125,0.0011482051623706978,0.01618615206866197,0.018073422297710893,0.12991134072434635,0.12796607420044745,0.6589741543956187
37.384651,-0.0228646258544922,0.007182604980468757,0.00017471201303841815,0.01582114340292441,0.01842068937917296,0.13831328779293325,0.13754581500974114,0.7293833876060332
37.909745,0.008259995727539049,0.0,0.000489723066850131,0.015204735218394886,0.01859513481609246,0.1464590391473248,0.14726420860473555,0.8041495077272175
38.434693,0.04656722229003905,0.031124621582031248,0.0022176292877197157,0.01580173095703125,0.019305744418005828,0.15459743035025364,0.1572122039808263,0.8831690035021252
38.959802,0.0202310040283203,0.0,0.002868715121717327,0.01523058405496988,0.020641187031253366,0.1627451043020721,0.16770045059402083,0.9664887140164994
39.484886,0.008259995727539049,-0.009576806640625005,0.0030567830498273874,0.0143652099609375,0.022196879172207057,0.17051524325459644,0.17894724217120972,1.0539835521847223
40.010026,0.005865794067382801,0.023942016601562505,0.0031514688144640866,0.01468802366792486,0.02382697986421407,0.17814375080852685,0.19103172683840283,1.1455309442558765
40.535134,0.0298078106689453,0.0023942016601562477,0.00402069735319717,0.014287138167671534,0.025710060780198187,0.18575129544910995,0.20403787500775575,1.2410730442310034
41.060436,-0.0228646258544922,-0.016759411621093748,0.003171687146638558,0.013306720805921051,0.027599147761464552,0.19299885010238307,0.2180395919404321,1.3405521487102492
41.585489,0.0034715924072265467,0.0,0.0031808679199218635,0.012899372209821427,0.029266861809145926,0.19987864398048039,0.23296842640197096,1.443692902160594
42.11049,-0.0228646258544922,-0.031124621582031248,0.0024072393919689706,0.011591728829865406,0.030733742772570915,0.20630757024894866,0.2487186151049738,1.5503169864889255
42.635536,-0.04920084411621095,-0.021547814941406243,0.0009185446753868576,0.010635780451847956,0.03160683758328538,0.21214280266811195,0.26508445128173436,1.6601698337382316
