time,x,y,z,v_x,v_y,p_x,p_y
16.448405,-0.36152445068359373,-7.137115148925781,6.6271501953125,0.0,0.0,0.0,0.0
16.64451,-0.0718260498046875,-7.175422375488281,6.6151791870117185,-0.020570250244141303,-6.960163762207031,0.18581987487792867,-3.2839768811035164
16.840467,0.047884033203124995,-7.3094976684570305,6.619967590332031,0.16341574145507737,-14.006666784179687,0.4531996204833966,-13.571435154296875
17.036441,-0.0909796630859375,-7.410054138183593,6.677428430175781,0.33784192651367073,-21.170468687499998,0.8998024544677703,-30.964028890136717
17.232291,-0.3232172241210937,-7.352593298339843,6.64630380859375,0.3265934829101552,-28.355942405761716,1.4278701591796834,-55.531384436767574
17.428481,-0.3495534423828125,-7.213729602050781,6.624755993652343,0.18639814965820356,-35.44291385595703,1.880555975463864,-87.23462256762694
17.624458,-0.2154781494140625,-7.249642626953125,6.53138212890625,0.09985935375976523,-42.478622970458986,2.2196617271728476,-125.99941398083496
17.820565,0.00718260498046875,-7.287949853515625,6.658274816894531,0.19181858154296616,-49.55131221069336,2.561607694824211,-171.81827457141117
18.01798,0.06464344482421874,-7.37414111328125,6.603208178710937,0.4251466064453129,-56.68494269409179,3.0675052888183534,-224.73898702380373
18.215248,-0.23223756103515625,-7.467514978027343,6.68461103515625,0.5386175483398417,-63.90850273974608,3.7466553662109283,-284.83844174072266
18.411863,-0.40462008056640625,-7.211335400390625,6.6319385986328125,0.4168037275390617,-71.05131292895507,4.420981004150382,-352.1217345750732
18.607857,-0.4070142822265625,-7.105990527343749,6.665457421875,0.20698054614257622,-78.01398189282226,4.9288671409911995,-426.4583879859619
18.804878,-0.17956512451171874,-7.125144140624999,6.598419775390624,0.11071184277343504,-84.93252822680662,5.284734335449205,-507.73462204577635
19.001011,0.06464344482421874,-7.228094812011718,6.682216833496093,0.2493840029296847,-91.91301470312499,5.660915258300764,-595.9612605107421
19.196886,-0.03591302490234375,-7.352593298339843,6.60799658203125,0.4596242128906231,-99.00748375830076,6.211294366210919,-691.225634741455
19.39286,-0.2346317626953125,-7.3478048950195305,6.605602380371093,0.5203258190917947,-106.16170885498045,6.897243382202127,-793.6142570480956
19.588863,-0.3854664672851562,-7.261613635253906,6.6319385986328125,0.40627970410156133,-113.27041512011716,7.556549143798806,-903.1343160356444
19.785042,-0.21068974609375,-7.1586629638671875,6.667851623535156,0.304380597412109,-120.2843744196777,8.108058294555642,-1019.7155318055418
19.983548,-0.00239420166015625,-7.249642626953125,6.598419775390624,0.39634462353515415,-127.29002121508786,8.656926905029271,-1143.3042236229246
20.180693,-0.0718260498046875,-7.484274389648437,6.636727001953124,0.5563794978027348,-134.45983472338864,9.33043396569822,-1273.9820065921629
20.377889,-0.27293898925781246,-7.388506323242187,6.701370446777343,0.581192978271483,-141.69902907983396,10.096416203735327,-1411.864242493774
20.574131,-0.38786066894531246,-7.161057165527343,6.603208178710937,0.4470351491699221,-148.77756882421872,10.806772267456031,-1556.9062994458004
20.770245,-0.19871873779296872,-7.1035963256835934,6.610390783691406,0.3498594458007794,-155.7137815698242,11.40133356494138,-1708.9558606428218
20.966577,-0.0430956298828125,-7.201758593749999,6.586448767089843,0.4252842619628905,-162.67012702954096,11.985237418823218,-1867.9514829425043
21.164252,-0.011971008300781249,-7.331045483398437,6.68461103515625,0.5954259428710938,-169.7388540681152,12.69326752124021,-2033.9582984913325
21.360453,-0.258573779296875,-7.376535314941406,6.5960255737304685,0.6563545490722642,-176.8964434672851,13.515358767211888,-2207.0797462590326
21.556772,-0.28730419921875,-7.280767248535156,6.677428430175781,0.5797345598144508,-184.0287757490234,14.329722321655245,-2387.3460368671867
21.753187,-0.1388636962890625,-7.259219433593749,6.679822631835937,0.5630656120605463,-191.10235409008786,15.097537407592746,-2574.7151867867424
21.94956,-0.03591302490234375,-7.335833886718749,6.6893994384765625,0.6720502514648444,-198.2035077502441,15.911468339355443,-2769.171744706908
22.146152,-0.24181436767578124,-7.41244833984375,6.617573388671874,0.7297785551757809,-205.38105686352534,16.808974742675755,-2970.767435013793
22.342426,-0.27293898925781246,-7.228094812011718,6.629544396972656,0.6686758767089831,-212.5050544394531,17.704475958618136,-3179.514216665282
