time,x,y,z,v_x,v_y,p_x,p_y
21.61938,0.3399766357421875,-6.062118603515625,-8.245630517578125,0.0,0.0,0.0,0.0
21.815714,0.277727392578125,-5.935225915527344,-8.099584216308592,0.5051860141601565,-5.802338259521484,0.4489270070800785,-2.704835129760742
22.011853,0.17956512451171874,-5.954379528808594,-8.245630517578125,0.9299712727050771,-11.551001981689454,1.362644650512694,-11.185366250366211
22.209707,0.28730419921875,-6.011840368652344,-8.195352282714843,1.3612599345703145,-17.336257930419922,2.7061142541503926,-25.431142206420898
22.405946,0.469263525390625,-5.925649108886718,-8.032546569824218,1.9357827968750003,-23.108763669189454,4.550874619873048,-45.457414006225584
22.602237,0.26336218261718747,-6.050147595214844,-8.1594392578125,2.4983866508789054,-28.900371021240236,6.96425034375,-71.26569035144043
22.79858,0.3064578125,-5.973533142089844,-8.09479581298828,2.9796396484375016,-34.71586838989258,9.899606493408205,-102.87746705700683
22.994835,0.33039982910156246,-6.059724401855468,-8.166621862792969,3.49432346923828,-40.53624216186523,13.332843052246094,-140.30726733288571
23.190998,0.2705447875976562,-5.889736083984375,-8.264784130859374,3.9909587775878914,-46.31480940478515,17.271647175659183,-183.5366301162109
23.387206,0.28490999755859375,-6.081272216796875,-8.226476904296874,4.464894170166015,-52.10410555517578,21.695781649536134,-232.54987959619137
23.583159,0.3854664672851562,-5.9376201171875,-8.058882788085937,4.996035402587889,-57.917598722167966,26.622199435913085,-287.36477873486325
23.77919,0.3064578125,-5.928043310546875,-8.173804467773436,5.538028542480468,-63.65439943603515,32.085262408447264,-347.9547468139648
23.976308,0.36152445068359373,-5.928043310546875,-8.06367119140625,6.069137674072265,-69.38532474658201,38.08596351672364,-414.2774909052734
24.176081,0.3591302490234375,-6.054935998535156,-8.135497241210937,6.629238023925781,-75.17704140112303,44.63492436572266,-486.35890097912596
24.373204,0.21787235107421873,-5.913678100585937,-8.190563879394531,7.114862323974611,-80.96422545068357,51.70409753967286,-564.2324114050292
24.569252,0.3232172241210937,-5.944802722167968,-8.183381274414062,7.581455111572265,-86.69741786206052,59.24830425744629,-647.8671850614012
24.765936,0.36631285400390623,-5.911283898925781,-8.0828248046875,8.122904150634767,-92.42877717260738,67.29716788854981,-737.2335985787352
24.962811,0.27293898925781246,-5.925649108886718,-8.190563879394531,8.639405072265625,-98.15036867651364,75.87519750000001,-832.3262965032957
25.159048,0.258573779296875,-6.030993981933594,-8.061276989746093,9.101398456542968,-103.9324532219238,84.9418362644043,-933.1714704525144
25.355842,0.41898529052734373,-5.980715747070312,-8.173804467773436,9.636971991455079,-109.74151408642575,94.50781548840332,-1039.8116601066893
25.551852,0.22505495605468748,-5.928043310546875,-8.21690009765625,10.155002114746095,-115.49988361523434,104.59981254150391,-1152.236348957519
25.748221,0.35673604736328124,-6.0142345703124995,-8.169016064453125,10.64226661645508,-121.27465355566402,115.1948159071045,-1270.4272485429683
25.944383,0.2920926025390625,-5.954379528808594,-8.10197841796875,11.16284294140625,-127.06279860522456,126.29353268603516,-1394.3998126234126
26.140499,0.2609679809570312,-5.904101293945312,-8.099584216308592,11.635489233154297,-132.79592301660153,137.88881477331543,-1524.1330574343256
26.336852,0.32561142578124996,-6.045359191894531,-8.073247998046874,12.12513193652344,-138.57430025952146,149.96547835815431,-1659.621816072387
