time,x,y,z,v_x,v_y,p_x,p_y
0.092823,0.3687070556640625,-7.656656909179687,-6.552929943847656,0.0,0.0,0.0,0.0
0.288948,0.3399766357421875,-7.620743884277343,-6.567295153808593,0.550466845703125,-7.442575396728515,0.4713584228515625,-3.5251626983642574
0.48496,0.3447650390625,-7.649474304199218,-6.512228515625,1.0888496831054688,-14.881672490966796,1.4870286872558593,-14.491274642211913
0.680991,0.3447650390625,-7.735665563964844,-6.591237170410156,1.629645722167969,-22.378211425048825,3.0423073898925783,-32.92518560021973
0.876786,0.45010991210937495,-7.687781530761718,-6.53138212890625,2.2228781977539063,-29.894139972412106,5.164364349853516,-58.86556629895019
1.073387,0.296881005859375,-7.6614453125,-6.655880615234374,2.7929746567382816,-37.37215239404296,7.86889177709961,-92.30211148217772
1.26943,0.40222587890625,-7.726088757324218,-6.567295153808593,3.338571099121094,-44.86987642895507,11.130707655029298,-133.22708289367674
1.465296,0.33039982910156246,-7.654262707519531,-6.605602380371093,3.9007499531249996,-52.36418616137694,14.946234181152345,-181.64824818884276
1.66121,0.2825157958984375,-7.793126403808594,-6.6271501953125,4.4031217656249995,-59.891966717041,19.294084040527345,-237.58041062805174
1.857254,0.40222587890625,-7.694964135742187,-6.459556079101562,4.941536603027343,-67.43996798681638,24.16245722485352,-301.05033397998045
2.053118,0.2059013427734375,-7.730877160644531,-6.660669018554687,5.441464213867187,-74.95702463500974,29.549821633300784,-372.05296629089355
2.248972,0.5243301635742187,-7.711723547363281,-6.488286499023437,6.002433967041016,-82.48247098901365,35.46762472375488,-450.57686010290524
2.444875,0.277727392578125,-7.64229169921875,-6.675034228515624,6.599365745117188,-89.96357561230467,41.96442757983398,-536.6039804035644
2.642998,0.3902548706054687,-7.668627917480468,-6.586448767089843,7.131479876708985,-97.42091242065428,49.02797339074707,-630.0981014200438
2.839413,0.33518823242187495,-7.769184387207031,-6.5505357421875,7.690616428222657,-104.94340357299802,56.63543654321289,-731.08384441687
3.035345,0.3184288208007812,-7.682993127441406,-6.5577183471679685,8.213356954833984,-112.47356033032224,64.78335523474121,-839.5963943685301
3.23142,0.4213794921875,-7.745242370605468,-6.5505357421875,8.779336111328124,-119.9916030793457,73.47577676782225,-955.6329010733641
3.427813,0.258573779296875,-7.714117749023437,-6.514622717285156,9.315705747070313,-127.52489013916015,82.71969069702148,-1079.194754682617
3.624071,0.3711012573242187,-7.6997525390625,-6.488286499023437,9.82680126538086,-135.0355672832031,92.48720220324707,-1210.2787253937986
3.820276,0.3591302490234375,-7.733271362304687,-6.600813977050781,10.38812201855469,-142.5558742338867,102.79086884521485,-1348.8782411523437
4.016178,0.3447650390625,-7.64229169921875,-6.519411120605469,10.935971662597659,-150.04775376464843,113.64881768579103,-1494.9841531516113
4.212185,0.3495534423828125,-7.678204724121093,-6.449979272460937,11.479137903320314,-157.51199497631833,125.05237946875,-1648.5680205220947
4.408054,0.28969840087890625,-7.675810522460937,-6.600813977050781,11.994632824951173,-164.99313359960937,136.98513383288574,-1809.6247158100587
4.604058,0.3327940307617187,-7.709329345703124,-6.5577183471679685,12.501883040771487,-172.4896995336914,149.42939576574705,-1978.1701283767093
4.800206,0.5123591552734374,-7.656656909179687,-6.440402465820312,13.120607633789064,-179.9765446611328,162.4367891030273,-2154.2071024741213
4.996677,0.33039982910156246,-7.639897497558593,-6.603208178710937,13.738458125976564,-187.42835086450194,176.0627929829101,-2337.7130792369385
